25.5331	5.6068	3.0000	5	2
33.5206	9.9013	1.0000	2	1
36.1790	13.7681	10.0000	2	1
54.8625	12.8569	20.0000	4	1
54.7788	8.3664	19.0000	7	2
77.9713	9.1044	16.0000	10	3
71.1451	4.3622	11.0000	15	4
70.8092	0.5027	3.0000	6	6
59.8894	0.0000	0.0000	1	4
48.7968	0.0000	0.0000	2	2
38.6239	3.3902	1.0000	1	1
26.5615	3.5070	10.0000	2	1
28.2314	7.7194	10.0000	4	1
26.0435	12.2405	11.0000	7	2
35.0817	13.1655	9.0000	10	3
62.2258	11.6636	15.0000	15	4
55.2143	12.1496	7.0000	21	6
63.2536	8.9808	0.0000	8	8
62.2028	5.6497	0.0000	1	6
68.7301	3.7005	0.0000	2	4
48.8445	0.2035	0.0000	0	2
44.2209	2.0884	2.0000	0	1
34.8733	0.1405	9.0000	1	1
40.1631	4.0080	12.0000	2	1
34.2949	5.6596	22.0000	4	1
30.4827	10.1176	29.0000	7	2
36.7828	11.4572	31.0000	10	3
61.1023	11.0612	40.0000	15	4
69.7128	11.5566	32.0000	21	6
69.0613	7.0291	21.0000	29	8
71.3754	2.5441	6.0000	11	11
70.3644	1.1805	0.0000	1	9
61.2986	0.0000	0.0000	2	7
52.0200	2.0085	0.0000	2	5
41.4034	2.4807	0.0000	0	3
37.3852	6.2916	8.0000	0	1
34.7900	5.8479	21.0000	1	1
36.5950	12.0714	30.0000	2	1
43.1849	11.4707	42.0000	4	1
52.8087	13.1433	54.0000	7	2
58.9434	11.1475	52.0000	10	3
67.9508	6.0197	47.0000	15	4
63.7968	3.6854	39.0000	21	6
59.0382	1.2655	28.0000	29	8
61.3272	0.0000	13.0000	40	11
50.3282	0.0000	0.0000	16	14
45.7848	2.2888	0.0000	2	12
32.6997	4.4850	5.0000	2	10
37.3641	6.3507	10.0000	2	8
26.5775	11.1627	22.0000	0	6
38.7818	10.9683	24.0000	2	4
60.5833	10.6546	38.0000	2	2
60.3265	8.4853	37.0000	3	1
70.4703	7.2206	35.0000	5	1
61.6374	5.1893	32.0000	8	2
73.3412	3.3297	28.0000	12	3
47.8991	2.1956	22.0000	18	4
35.3831	0.0000	17.0000	26	6
36.3174	2.3227	8.0000	11	8
40.4644	4.7596	9.0000	2	6
34.2921	8.2528	20.0000	1	4
33.0988	11.9015	30.0000	0	2
45.4310	13.4660	39.0000	0	1
50.8386	10.6315	49.0000	1	1
63.5784	11.4690	52.0000	2	1
62.5523	7.6101	51.0000	4	1
75.5809	2.7038	49.0000	7	2
63.7346	0.0000	45.0000	10	3
63.2347	0.0000	40.0000	15	4
48.5382	0.0000	32.0000	21	6
42.2823	0.7285	23.0000	29	8
26.8866	4.4173	14.0000	40	11
27.8051	6.7849	0.0000	16	14
